设备型号,类型,平台高度,作业高度,承载能力,车身宽度,驱动方式,自重
S-100,直臂式,30.38M,32.48M,227KG,2.49M,柴油引擎,18008KG
S-100,直臂式,30.38M,32.48M,227KG,2.49M,柴油引擎T,18008KG
STAR10,桅杆式,7.75M,9.75M,450KG,1.2M,24伏直流,2330KG
AWP-20S,桅杆式,6M,8.12M,159KG,0.74M,12伏直流,355KG
ZT20J,直臂式,20.75M,22.75M,300/454KG,2.49M,柴油引擎T,12200KG
ZT26J,直臂式,26.2M,28.2M,300/454KG,2.49M,柴油引擎T,18900KG
ZT30J,直臂式,30.48M,32.48M,230/340KG,2.49M,柴油引擎T,19400KG
ZT42J,直臂式,42M,44M,300/454KG,2.49M,柴油引擎T,22000KG
ZT38J,直臂式,38.2M,40.2M,300/454KG,2.49M,柴油引擎T,20.68KG
XGS28K,直臂式,26.2M,28.2M,300/460KG,2.49M,柴油引擎,16500KG
XGS34K,直臂式,32.3M,34.3M,300/460KG,2.49M,柴油引擎,19300KG
XGS40K,直臂式,38.2M,40.2M,300/460KG,2.49M,柴油引擎,21460KG
XGS43,直臂式,41.3M,43.3M,230/450KG,2.49M,柴油引擎,22000KG
XGS58,直臂式,56.6M,58.6M,230/450KG,2.49M,柴油引擎,27900KG
XGS25ACK-Li,直臂式(电动）,23M,25M,300/460KG,2.45M,48V直流,13500KG
XGS28ACK-Li,直臂式(电动）,26.8M,28.8M,300/460KG,2.49M,48V直流,16600KG
XGA22ACK-Li,曲臂式(电动）,20.21M,22.21M,256/350KG,2.49M,48V直流,10100KG
XGS22K,直臂式,20M,22M,300/460KG,2.49M,柴油引擎,12300KG
XGS20ACK-Li,直臂式(电动）,18.5M,20.5M,300KG,2.49M,48V直流,8350KG
XG1212HA-Li,剪叉式,10M,12M,115/320KG,1.17M,24V直流,3000KG
XG1008HA-Li,剪叉式,8M,10M,115/230KG,0.81M,24V直流,2260KG
XG0807HA-Li,剪叉式,6M,7.8M,115/230KG,0.76M,24V直流,1550KG
XG1614HA-Li,剪叉式,14M,15.8M,115/350KG,1.39M,24V直流,3680KG
XG1412HA-Li,剪叉式,12M,13.8M,115/320KG,1.19M,24V直流,3150KG
XGA16K,曲臂式,14.05M,16.63M,256/350KG,2.32M,柴油引擎,7600KG
XGA18ACK-Li,曲臂式(电动）,16M,18M,256/350KG,2.32M,48V直流,8600KG
XGA20ACK-Li,曲臂式(电动）,18M,20.6M,256/350KG,2.49M,48V直流,9100KG
XG1212HA-Li,剪叉式,10M,13.8M,115/320KG,1.19M,24V直流,3150KG
XGA16ACK-Li,曲臂式(电动）,14.5M,16.5M,256/350KG,2.32M,48V直流,7400KG
XG0807HA-Li,剪叉式,6M,12M,115/320KG,1.17M,24V直流,3000KG
XG1008HA-Li,剪叉式,8M,7.8M,115/230KG,0.76M,24V直流,1550KG
XGS32K,直臂式,30M,32.6M,300/460KG,2.49M,柴油引擎,18500KG
XGS50K,直臂式,48M,50M,300/460KG,2.49M,柴油引擎,24440KG
ZT28JE-V,直臂式(电动）,26.7M,28.7M,300/454KG,2.49M,锂电,17900KG
ZA20JE,曲臂式(电动）,19.45M,21.45M,250KG,2.49M,铅酸,9200KG
XGS58K,直臂式,56M,58.6M,230/450KG,2.49M,柴油引擎,27900KG
ZS0808HD-Li,剪叉式,8M,10M,230KG,0.81M,锂电,2060KG
ZS1012HD-Li,剪叉式,10M,11.8M,350KG,1.15M,锂电,2900KG
ZS1212HD-Li,剪叉式,12M,13.8M,350KG,1.15M,锂电,3180KG
ZS0607HD-Li,剪叉式,6M,7.87M,230KG,0.76M,锂电,1400KG
ZS1414HD-Li,剪叉式,14M,15.7M,260KG,1.4M,锂电,3540KG
